behavior_cluster,top_behavioral_themes,gender_imputed,age_imputed,religion_imputed,ethnicity_imputed,cluster_name,persona_summary
0,"months, political, last, over, spend, family, year, single",Female,25 - 34,__MISSING__,__MISSING__,Monthly-Political Spenders,A 25-34-year-old female with an active credit usage and high equity balance resides in the household. Religion and ethnicity are unknown.
0,"months, political, last, over, spend, family, year, single",Female,45 - 54,__MISSING__,__MISSING__,Monthly-Political Spenders,"A single, college-educated individual resides in a USA household, with a net worth between $250,000 and $499,999. This individual is a near prime to prime consumer, actively using credit, and holds a high equity balance. They are known to have discretionary spend of $5 and have responded to mail within the last 24 months."
0,"months, political, last, over, spend, family, year, single",Female,55 - 64,Protestant,Caucasian|Western European,Monthly-Political Spenders,"A professional, net worth $100,000 to $249,999, and residing in a household with at least one active responder to mail solicitations, demonstrates a low auto debt profile and supports various political causes and charitable causes, with a wealth rating in the fourth decile."
0,"months, political, last, over, spend, family, year, single",Female,55 - 64,Protestant,Western European|Caucasian,Monthly-Political Spenders,"A 55-64 year old woman from the USA, with a Protestant faith and Western European/Caucasian ethnicity, typically exhibits financially responsible behaviors. Her preferences lean towards traditional values and established brands."
0,"months, political, last, over, spend, family, year, single",Female,55 - 64,__MISSING__,__MISSING__,Monthly-Political Spenders,"A near prime to prime, college-educated single family in the USA, with a net worth between $250,000 and $499,999, actively uses credit and has a high disposable income. This demographic, residing in the fourth decile of wealth, primarily utilizes mobile and tablet devices."
0,"months, political, last, over, spend, family, year, single",Female,65 - 74,Protestant,Caucasian|Western European,Monthly-Political Spenders,"A 65-74 year old Caucasian/Western European female, living in the USA and practicing Protestantism, falls into a behavioral segment with a net worth between $50,000 and $99,999. She is a professional with a low number of active open auto loans and a wealth rating in the second decile."
0,"months, political, last, over, spend, family, year, single",Female,65 - 74,Protestant,Western European|Caucasian,Monthly-Political Spenders,"A 65-74 year-old woman, a Protestant with Western European or Caucasian ethnicity, resides in the USA and has recently responded to mail within the last 24 months."
0,"months, political, last, over, spend, family, year, single",Female,65 - 74,__MISSING__,__MISSING__,Monthly-Political Spenders,"A 65-74 year old female resides in the USA with a net worth between $100,000 and $249,999. No religion or ethnicity information is available. She has recently engaged with mail offers."
0,"months, political, last, over, spend, family, year, single",Female,75+,Protestant,Caucasian|Western European,Monthly-Political Spenders,"A 75-year-old Caucasian woman of Western European descent, with a net worth exceeding $499,999 and identified as a professional, holds a wealth rating in the sixth decile. She is a Protestant female, aged 75 or above, and her spending falls between $200,001 and $400,000. This demographic is characterized by someone in the household having engaged in financial activities within the last 24 months."
0,"months, political, last, over, spend, family, year, single",Female,75+,Protestant,Western European|Caucasian,Monthly-Political Spenders,"An elderly single family head, with a low discretionary spend of $5 and a net worth between $100,000 and $249,999, falls into the lowest average credit score decile (Sub Prime - 1st Quartile). This individual has a relatively low wealth rating and a modest home value, ranging from $400,001 to $600,001, with the fewest active open auto loan members."
0,"months, political, last, over, spend, family, year, single",Female,75+,__MISSING__,__MISSING__,Monthly-Political Spenders,"A 75-year-old female, religiously affiliated, heads the household and holds a graduate degree. She is a Near Prime to Prime borrower, lien-free, and a primary decision-maker with a net worth exceeding $499,999."
0,"months, political, last, over, spend, family, year, single",Male,25 - 34,__MISSING__,__MISSING__,Monthly-Political Spenders,"A single, high school-educated individual resides in a household with a net worth under $1 and discretionary spending of $3. They have a low number of active open auto loans, support various political causes, and consume fast food frequently, dining out 14 or more times in the last 30 days. Their credit status falls within the Sub Prime to Near Prime - 2nd Quartile."
0,"months, political, last, over, spend, family, year, single",Male,45 - 54,__MISSING__,__MISSING__,Monthly-Political Spenders,"A 45-54-year-old American male, with religion and ethnicity undisclosed, is a member of a group characterized by someone in the household having responded to mail within the last 24 months."
